Premises Name|Address|postcode|Local Authority|Type|Products Sold|Company Name|Status
710 VACS LIMITED|ECO HOUSE, WESTER GOURDIE IND. ESTATE, NOBEL ROAD DD2 4XE|DD2 4XE|Dundee City|Other Retail|Tobacco And Nicotine Vapour Products|710 VACS LIMITED|Active
727 Newsagent|Post Office, Main Street KW3 6AE|KW3 6AE|Highland|Confectionary / Tobacconist / Newsagents|Tobacco And Nicotine Vapour Products|727 Newsagent|Active
786 DUNDEE Limited|1 Lothian Crescent, UNIT 1  DD4 0SX|DD4 0SX|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|786 DUNDEE Limited|Active
786 FORFAR limited|48a Marker Street,  DD8 3EW|DD8 3EW|Angus|Convenience Store|Tobacco And Nicotine Vapour Products|786 FORFAR Limited|Active
78-80dunholm |78/80 dunholm ,  DD2 4RU|DD2 4RU|Dundee City|Convenience Store|Tobacco And Nicotine Vapour Products|Gk relailing limited |Active
7-Eight|71 South Bridge Street,  EH48 1TJ|EH48 1TJ|West Lothian|Convenience Store|Tobacco Only|A.Brothers Company Limited|Inactive
7to7|232 paisley road, renfrew PA4 8AA|PA4 8AA|Renfrewshire|Convenience Store|Tobacco Only|7to7|Inactive
8-2-8|7/9 , CHURCH ST KY11 1LG|KY11 1LG|Fife|Convenience Store|Tobacco And Nicotine Vapour Products|8-2-8|Inactive
8315 - NAAFI Store|Naval Families Estate, 51 Sherbrooke Road KY11 2YR|KY11 2YR|Fife|Convenience Store|Tobacco Only|Aramark|Inactive
8352 - NAAFI Store Aramark|RAF Kinloss, Forres IV36 0KG|IV36 0KG|Moray|Convenience Store|Tobacco Only|Aramark|Active
85 Henderson street ltd|G & M Convenience Store, 85 Henderson Street ML5 1BL|ML5 1BL|North Lanarkshire|Convenience Store|Tobacco And Nicotine Vapour Products|85 Henderson street ltd|Active
8515 Naafi Store - RM Condor|Aramark Block 211, RM Condor DD11 3SJ|DD11 3SJ|Angus|Convenience Store|Tobacco Only|Aramark|Active
86 union st, kelty|WORKSHOP / 86, UNION STREET KY4 0EF|KY4 0EF|Fife|Other Retail|Nicotine Vapour Products Only|VDS|Active
99 Hanover Street|99 Hanover Street,  EH2 1DJ|EH2 1DJ|Edinburgh City|Public House|Tobacco Only|99 Hanover Street Limited|Inactive
A & A Caldwell|88 High Street,,  EH44 6HF|EH44 6HF|Scottish Borders|Confectionary / Tobacconist / Newsagents|Tobacco Only|A & A Caldwell|Active
A & A Mini Market|32 Harris Court,  FK10 1DD|FK10 1DD|Clackmannanshire|Convenience Store|Tobacco Only|A & A Mini Market Ltd|Active
